DISTRICTS,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER THEFTS,FORGERY,COUNTERFEITING,sum
"SOUTH, A & N ISLANDS",0.571428571,0.214285714,0.0,0.571428571,0.0,0.571428571,1.0,0.285714286,0.0,0.071428571,4.642857143,3.857142857,0.0,3.857142857,0.571428571,0.357142857,1.857142857,0.071428571,0.285714286,3.571428571,0.142857143,1.0,0.214285714,0.214285714,0.0,0.357142857,0.0,0.0,0.0,24.285714281999994
"SOUTH, A&N ISLANDS",0.357142857,0.214285714,0.071428571,1.5,0.0,1.5,1.142857143,0.071428571,0.0,0.071428571,2.571428571,2.071428571,0.142857143,1.928571429,0.0,0.071428571,1.714285714,0.0,0.071428571,2.571428571,0.071428571,2.357142857,0.357142857,0.285714286,0.0,0.142857143,0.0,0.0,0.0,19.285714282
"SOUTH, DELHI UT",55.42857143,47.78571429,13.14285714,132.2857143,0.0,92.85714286,508.0,3.0,22.85714286,97.28571429,506.4285714,3539.785714,1818.642857,1274.571429,16.07142857,68.0,315.9285714,2.285714286,7.142857143,176.0,15.21428571,298.7857143,33.35714286,121.6428571,0.0,175.6428571,446.5714286,0.5,0.642857143,9789.857142782
"SOUTH, SIKKIM",3.142857143,2.571428571,0.928571429,9.357142857,0.0,7.142857143,4.0,0.214285714,0.0,1.785714286,20.35714286,24.0,1.714285714,19.5,13.42857143,0.214285714,4.142857143,0.142857143,2.928571429,26.71428571,0.0,9.142857143,0.285714286,0.857142857,0.0,12.64285714,2.785714286,0.0,0.0,167.999999998
"SOUTH, TRIPURA",28.64285714,17.78571429,0.142857143,42.64285714,0.0,39.28571429,44.0,1.785714286,0.071428571,15.28571429,45.07142857,83.42857143,8.0,74.07142857,44.35714286,7.5,20.92857143,2.285714286,10.21428571,211.5714286,6.642857143,83.0,0.357142857,131.5714286,0.0,34.0,1.357142857,0.0,0.214285714,954.2142857769999
"SOUTH-EAST, DELHI UT",28.28571429,24.57142857,8.285714286,101.7857143,0.0,64.78571429,469.5714286,2.285714286,4.785714286,58.0,232.5714286,1656.357143,893.3571429,400.1428571,6.428571429,25.42857143,118.5,1.928571429,4.214285714,117.5,8.285714286,150.6428571,16.78571429,74.42857143,0.0,222.9285714,362.8571429,0.5,0.214285714,5055.42857163
"SOUTH-WEST, DELHI UT",39.35714286,33.07142857,10.14285714,100.9285714,0.0,68.0,454.1428571,2.642857143,3.428571429,62.5,274.0714286,1214.214286,631.4285714,358.5,5.785714286,20.0,138.5714286,1.142857143,5.142857143,93.35714286,11.78571429,145.9285714,16.64285714,137.8571429,0.0,140.0,224.2857143,0.642857143,0.214285714,4193.785714560999
"SPL CELL, DELHI UT",0.0,0.857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.071428571,0.0,0.0,0.142857143,0.0,0.071428571,0.0,0.142857143,5.428571429,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214285714,0.071428571,0.0,1.071428571,8.499999999
"SPL NARCOTIC, MIZORAM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071428571
"SPL TRAFFIC, MIZORAM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857,0.0,0.0,0.0,2.857142857
"SPUWAC, DELHI UT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42857143,0.0,0.0,0.0,0.0,0.0,11.500000001
"SRIKAKULAM, ANDHRA PRADESH",33.57142857,22.42857143,3.142857143,31.35714286,0.071428571,25.42857143,39.42857143,1.785714286,0.0,6.071428571,137.9285714,223.0714286,16.28571429,193.6428571,37.5,17.64285714,84.85714286,3.857142857,24.57142857,1021.928571,6.357142857,122.1428571,52.07142857,233.2857143,0.0,353.8571429,13.14285714,0.714285714,0.214285714,2706.3571424030006
"SRINAGAR, JAMMU & KASHMIR",33.07142857,81.57142857,2.571428571,20.85714286,0.0,18.78571429,203.7142857,2.214285714,0.0,30.78571429,292.2142857,431.5,260.3571429,161.5,180.0714286,14.35714286,79.0,4.142857143,29.35714286,20.92857143,0.0,232.2857143,91.28571429,28.71428571,0.0,72.71428571,9.642857143,0.0,1.071428571,2302.714285782
"SRP (CUTTACK), ODISHA",0.0,0.142857143,0.0,0.0,0.0,0.0,0.285714286,0.142857143,0.142857143,1.357142857,0.285714286,31.28571429,1.214285714,0.0,0.428571429,0.071428571,0.214285714,0.0,0.0,0.142857143,0.0,1.428571429,0.0,0.071428571,0.0,1.428571429,30.07142857,0.0,0.0,68.714285718
"SRP (ROURKELA), ODISHA",0.285714286,0.142857143,0.0,0.214285714,0.0,0.142857143,0.714285714,0.142857143,0.0,1.5,4.285714286,22.85714286,3.142857143,0.0,0.0,0.0,0.214285714,0.0,0.0,0.0,0.0,1.571428571,0.0,0.0,0.0,0.5,19.71428571,0.0,0.0,55.428571426999994
"SRP(CUTTACK), ODISHA",2.642857143,2.214285714,0.071428571,0.571428571,0.0,0.571428571,5.285714286,1.0,1.071428571,10.35714286,7.428571429,320.5714286,36.35714286,284.2142857,0.857142857,0.428571429,4.5,0.142857143,0.142857143,23.85714286,0.071428571,5.428571429,0.5,0.785714286,0.0,0.357142857,0.0,0.0,0.0,709.428571451
"SRP(ROURKELA), ODISHA",5.642857143,2.142857143,0.071428571,1.142857143,0.0,1.142857143,4.142857143,1.071428571,1.571428571,8.714285714,12.35714286,160.6428571,17.85714286,142.7857143,2.142857143,0.571428571,2.071428571,0.214285714,0.0,3.5,0.214285714,5.714285714,0.214285714,0.928571429,0.0,2.785714286,0.0,0.0,0.0,377.6428571180001
"ST.RAVIDASNAGAR, UTTAR PRADESH",16.14285714,16.78571429,7.714285714,6.357142857,0.0,3.714285714,20.85714286,1.5,0.0,8.428571429,31.28571429,61.28571429,25.35714286,34.07142857,12.57142857,10.64285714,18.78571429,0.5,1.0,70.92857143,10.57142857,6.285714286,4.142857143,20.07142857,0.0,60.71428571,1.857142857,0.0,0.0,451.57142858000003
"STF, ASSAM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"STF, DELHI UT",0.071428571,2.928571429,0.0,0.0,0.0,0.0,0.142857143,0.071428571,0.142857143,0.142857143,0.0,0.071428571,0.0,0.071428571,0.0,0.071428571,3.285714286,1.714285714,0.071428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.785714284
"SUBANSIRI LOWER, ARUNACHAL PRADESH",4.285714286,2.428571429,0.357142857,1.714285714,0.0,1.642857143,7.428571429,1.142857143,0.0,5.357142857,14.85714286,17.78571429,2.285714286,14.5,2.357142857,1.571428571,2.071428571,0.142857143,1.857142857,23.21428571,0.0,4.357142857,0.0,0.357142857,0.0,2.642857143,1.0,0.0,0.0,113.35714286
"SUBANSIRI UPPER, ARUNACHAL PRADESH",4.142857143,2.071428571,0.071428571,3.714285714,0.0,2.928571429,6.428571429,1.071428571,0.0,4.928571429,11.5,17.35714286,0.857142857,14.28571429,2.214285714,2.285714286,2.857142857,0.071428571,2.357142857,40.57142857,0.0,7.5,0.0,1.214285714,0.0,5.0,2.214285714,0.142857143,0.0,135.78571429
"SUKMA, CHHATTISGARH",5.285714286,7.071428571,0.0,1.714285714,0.0,1.0,3.0,1.714285714,0.0,0.642857143,2.357142857,2.142857143,1.214285714,0.714285714,0.285714286,0.071428571,0.357142857,0.0,1.285714286,1.714285714,0.071428571,1.0,0.071428571,0.642857143,0.0,3.642857143,0.214285714,0.0,0.0,36.21428571199999
"SULTANPUR, UTTAR PRADESH",57.35714286,78.0,21.64285714,31.07142857,0.142857143,24.57142857,118.2857143,3.285714286,0.428571429,31.0,101.2857143,230.5714286,88.85714286,130.8571429,54.21428571,37.85714286,54.5,1.071428571,7.357142857,265.6428571,19.5,37.64285714,18.28571429,67.57142857,0.0,160.7142857,10.85714286,0.0,0.0,1652.5714286159998
"SUNDARGARH, ODISHA",64.5,46.5,1.071428571,39.71428571,0.0,33.07142857,44.28571429,10.28571429,1.785714286,36.14285714,81.07142857,167.9285714,29.07142857,131.0,38.21428571,8.714285714,21.92857143,0.642857143,8.5,455.0714286,4.642857143,72.14285714,6.0,19.78571429,0.0,205.1428571,7.857142857,0.214285714,0.214285714,1535.4999999519998
"SUPAUL, BIHAR",43.35714286,50.78571429,5.285714286,35.0,0.0,29.5,118.5714286,18.85714286,1.357142857,29.42857143,45.35714286,162.3571429,25.42857143,123.0,310.6428571,31.78571429,37.92857143,0.428571429,8.571428571,272.2857143,12.5,15.64285714,0.0,34.28571429,0.642857143,50.71428571,13.92857143,0.857142857,0.0,1478.500000063
"SURAJPUR, CHHATTISGARH",35.07142857,12.64285714,0.714285714,53.78571429,0.0,46.78571429,31.85714286,2.928571429,0.357142857,11.92857143,62.78571429,83.71428571,13.14285714,54.21428571,23.64285714,3.857142857,15.85714286,0.5,6.5,240.6428571,2.0,55.5,1.5,33.5,0.0,100.0,16.35714286,0.357142857,0.0,910.142857104
"SURAT CITY, GUJARAT",6.071428571,2.928571429,0.571428571,20.14285714,0.0,7.0,37.57142857,2.0,0.142857143,2.142857143,36.71428571,93.92857143,63.28571429,0.0,6.214285714,1.857142857,23.5,0.0,0.285714286,50.71428571,0.142857143,10.0,0.0,28.92857143,0.0,82.5,30.64285714,1.285714286,1.5,510.0714285629999
"SURAT COMMR., GUJARAT",86.21428571,23.21428571,2.642857143,27.64285714,0.0,27.64285714,208.4285714,17.64285714,3.285714286,65.64285714,364.5,1779.285714,1185.428571,593.8571429,90.42857143,42.57142857,180.9285714,20.28571429,7.785714286,512.4285714,11.35714286,33.64285714,3.357142857,242.8571429,0.0,289.7857143,0.0,0.0,0.0,5820.857142142001
"SURAT RURAL, GUJARAT",51.78571429,8.857142857,0.642857143,14.64285714,0.0,11.71428571,41.71428571,11.57142857,1.0,17.21428571,98.92857143,247.0714286,115.8571429,117.3571429,28.35714286,24.07142857,30.35714286,3.785714286,7.0,187.0714286,0.785714286,14.42857143,0.357142857,60.42857143,0.0,483.8571429,13.85714286,0.428571429,0.428571429,1593.5714287569997
"SURENDRANAGAR, GUJARAT",32.14285714,20.78571429,0.428571429,20.71428571,0.0,17.71428571,79.42857143,7.357142857,0.428571429,16.78571429,114.6428571,241.7142857,79.57142857,153.9285714,67.57142857,52.5,13.71428571,6.428571429,9.714285714,460.9285714,0.928571429,43.35714286,2.642857143,100.3571429,0.0,226.6428571,8.214285714,0.214285714,0.214285714,1779.0714284519997
"TAMENGLONG, MANIPUR",4.142857143,4.571428571,0.0,0.142857143,0.0,0.142857143,5.285714286,0.0,4.142857143,0.142857143,0.142857143,5.142857143,0.428571429,4.0,1.5,0.285714286,0.785714286,0.0,4.071428571,2.857142857,0.0,0.142857143,0.0,0.0,0.0,2.285714286,0.714285714,0.0,0.0,40.928571430000005
"TAPI, GUJARAT",7.785714286,1.214285714,0.642857143,5.214285714,0.0,3.071428571,6.142857143,0.714285714,0.071428571,1.5,13.85714286,38.0,17.0,16.85714286,4.785714286,5.071428571,2.642857143,1.214285714,1.5,44.71428571,0.0,16.42857143,0.0,6.285714286,0.0,83.57142857,4.142857143,0.785714286,0.214285714,283.42857142900004
"TARN TARAN, PUNJAB",38.64285714,38.07142857,3.285714286,24.85714286,0.071428571,20.71428571,41.85714286,2.214285714,3.785714286,3.785714286,58.07142857,83.71428571,19.64285714,58.5,0.0,7.714285714,93.5,6.5,0.0,168.2857143,4.928571429,22.0,0.071428571,22.64285714,0.0,86.78571429,5.571428571,0.0,0.0,815.2142857179999
"TAWANG, ARUNACHAL PRADESH",1.0,0.357142857,0.071428571,0.5,0.0,0.5,0.285714286,0.071428571,0.0,0.357142857,5.928571429,11.92857143,0.285714286,10.64285714,0.285714286,0.5,0.642857143,0.357142857,0.0,6.0,0.0,2.785714286,0.142857143,0.285714286,0.0,3.642857143,1.0,0.0,0.0,47.571428571000006
